Neuron,shift,rsquared,f,gsp,rhv,lhv,rep,lep,rha,lha,rhp,lhp,rev,lev,rea,lea,uhv,dhv,uep,dep,uha,dha,uhp,dhp,uev,dev,uea,dea,ttype
SC23Sep11,130,0.563049364521674,fr ~ 1 + lhv + rep,gs,NaN,0.412872986305698,-1.34589832525612,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SC23Sep11,70,0.5906750756074,fr ~ 1 + lhv + lha,ps,NaN,1.07124293050583,NaN,NaN,NaN,0.0501974011627507,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SD04Jan12,20,0.155046597929019,fr ~ 1 + rhp + lhp,gs,NaN,NaN,NaN,NaN,NaN,NaN,-0.591186931162533,-0.706392108753899,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SD04Jan12,90,0.334964366628428,fr ~ 1 + rhv + lha,ps,0.273648532391521,NaN,NaN,NaN,NaN,0.0326960789419067,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UB05jan12,70,0.389510510797799,fr ~ 1 + rha,gs,NaN,NaN,NaN,NaN,0.0452875808772327,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UB05jan12,60,0.483930308970318,fr ~ 1 + lhp + lhv + rha,ps,NaN,0.318732821474873,NaN,NaN,0.0499005316630894,NaN,NaN,0.49031242792951,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UB07oct11,90,0.229904668674222,fr ~ 1 + lhp + rhv,gs,0.29585022830947,NaN,NaN,NaN,NaN,NaN,NaN,-0.712956448121237,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UB07oct11,100,0.0629760712264932,fr ~ 1 + lhp,ps,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.339844878433866,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UB16feb12,100,0.759639075835321,fr ~ 1 + lhv,gs,NaN,0.36090749306886,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UB16feb12,40,0.537644284132604,fr ~ 1 + lhv + lha + rep,ps,NaN,0.644281279913684,1.0589139674888,NaN,NaN,0.0313981027625126,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UB23feb12,50,0.444790824841557,fr ~ 1 + lhp + rhv + lhv + lha,gs,0.203718257472342,0.097857004409817,NaN,NaN,NaN,0.00904450820385382,NaN,-0.37203564979326,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UB23feb12,50,0.107085290180755,fr ~ 1 + rhv,ps,0.228927096480522,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UB24oct11,80,0.404840505708718,fr ~ 1 + rhv + lev,gs,0.200842978065208,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.125543647157518,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UB24oct11,40,0.217490052208999,fr ~ 1 + rhv,ps,0.298418384462789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UC17feb12,50,0.523939974540234,fr ~ 1 + rhv + lhv + lha,gs,0.160108324073916,0.125000553456724,NaN,NaN,NaN,0.0259677407565605,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
